Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key172,NORTH HOLLYWOOD,LOS ANGELES,CA,91605,79,258.2,385.85,223,223,709,756,903,1066,918
Key173,NORTH HOLLYWOOD,LOS ANGELES,CA,91606,79,319,458,223,223,621,637,809,892,819
Key174,YORBA LINDA,ORANGE,CA,92887,240,525,710,415,413,814,847,956,1092,976
Key175,WEST COVINA,LOS ANGELES,CA,91792,240,528,723,223,329,823,840,942,1149,967
Key176,COSTA MESA,ORANGE,CA,92627,240,378,434,325,329,631,651,728,805,760
Key177,SANTA FE SPRINGS,LOS ANGELES,CA,90670,141,527,527,457,457,841,865,1005,1058,1015
Key181,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,631,647,654,662
Key182,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,598,612,630,654
Key183,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,616,630,630,654
Key211,LOST HILLS,KERN,CA,93249,362,393,393,84,180,435,471,597,637,657
Key221,SANTA MARIA,SANTA BARBARA,CA,93455,7,182,265,73,76,361,420,524,531,538
Key222,CAMARILLO,VENTURA,CA,93010,33,225,337,88,88,407,435,511,524,552
Key223,SANTA MARIA,SANTA BARBARA,CA,93454,7,139,287,61,66,454,482,619,684,630
Key225,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,640,649,654,661
Key230,HOLTVILLE,IMPERIAL,CA,92250,31,120,316,168,45,469,476,608,610,640
Key231,CALEXICO,IMPERIAL,CA,92231,31,204,206,168,150,366,381,510,559,514
Key232,IMPERIAL,IMPERIAL,CA,92251,31,170,195,175,64,398,419,568,610,576
Key239,SAN DIEGO,SAN DIEGO,CA,92126,138,244,589,138,198,688,691,930,939,988
Key240,CHULA VISTA,SAN DIEGO,CA,91914,138,274,408,138,184,602,607,797,730,811
Key252,EL CENTRO,IMPERIAL,CA,92243,31,148,316,168,463,456,463,563,610,580
Key253,WESTMORLAND,IMPERIAL,CA,92281,31,150,177,168,45,297,321,503,517,517
Key283,MOUNTAIN VIEW,SANTA CLARA,CA,94043,790,524,827,722,722,1093,1110,1173,1260,1225
Key296,CARSON,LOS ANGELES,CA,90745,240,455,455,248,249,637,667,767,805,774
Key301,SACRAMENTO,SACRAMENTO,CA,95811,96.6,233,233,160.83,164.52,505,509,568,659,609
Key303,LAKEHEAD,SHASTA,CA,96051,36,267,368,118,160,433,442,516,623,565
